assembly,rid,parent_kind,parent_type,member_name,feature_tags
Auto_ThanLong_obfusca.exe,155,TypeSpec,,⁬⁫⁯⁫‪⁪‫​⁬⁫‫⁯​⁪‌⁫‬‫⁮‪⁭⁭⁮‮‌⁯‬‏‍⁮⁪‏​​‍‍⁭‭⁯⁫‮,
Auto_ThanLong_obfusca.exe,156,TypeSpec,,get_ItemUnderDragCursor,
Auto_ThanLong_obfusca.exe,157,TypeSpec,,⁭‪⁫⁮‪‪⁭‫‪‏​⁪‍‪‌‭‎‏⁮‭⁮‌‌⁫‭​‮‭⁯‎⁬‬​⁬⁫⁮‭⁯‬⁭‮,
Auto_ThanLong_obfusca.exe,158,TypeSpec,,‭⁯⁮⁮⁬⁫⁭⁪‪‬⁮⁮‭‎‎⁪⁭‌⁭‮‍‍⁬‌⁭⁫⁫⁯⁮⁫‌‏⁬‪‎⁯⁫​‍‭‮,
Auto_ThanLong_obfusca.exe,159,TypeSpec,,‎‮‬‬⁭‌​‎⁫‌‏⁭‏‬⁫⁭‫​⁪⁮‪‏⁪‌⁫⁬⁯‫​⁪‌⁫​‏‎‏⁮⁫‌‏‮,
Auto_ThanLong_obfusca.exe,160,TypeSpec,,⁭⁫‫⁭‪⁪‎‫‏‮‏‭‍‬⁭​‮‏​⁭⁪‪‮⁭‫​⁯⁯​⁪‌‌‭⁮⁬⁪‪⁫⁬‌‮,
Auto_ThanLong_obfusca.exe,161,TypeSpec,,‮⁪⁮‮⁬⁮‎‭‎‪⁫‍‮‮​⁬‮⁮‫‍‬‍‭‏‫⁭‫⁯‫‬‏​‌⁮‌‮​‪⁬‫‮,
Auto_ThanLong_obfusca.exe,162,TypeSpec,,get_Count,
Auto_ThanLong_obfusca.exe,163,TypeSpec,,get_Effects,
Auto_ThanLong_obfusca.exe,164,TypeSpec,,IndexOf,
Auto_ThanLong_obfusca.exe,165,TypeSpec,,‮‭⁬‮⁫‫‪⁭‌⁮⁪‪​‏​⁫‫⁮‫​‎‫‪⁭⁫‌‍​‬⁮⁭‍​​⁫‏⁯‍⁭‬‮,
Auto_ThanLong_obfusca.exe,166,TypeSpec,,Move,
Auto_ThanLong_obfusca.exe,167,TypeSpec,,⁮‭‌‏⁬‍⁭‮⁯⁮‌‮‭⁮‮‬‏​⁪‮⁮⁬​⁫‍⁭⁮‫⁬‏‏​⁫‪‭⁪⁯‮‌⁯‮,
Auto_ThanLong_obfusca.exe,168,TypeSpec,,.ctor,
Auto_ThanLong_obfusca.exe,169,TypeSpec,,Invoke,
Auto_ThanLong_obfusca.exe,170,TypeSpec,,⁭‪‌⁯⁪‮‬​​⁭‍​⁬⁬‏‪⁬⁫‪⁫‮‌‌⁪⁬‍‮⁪‪⁬⁭‍⁬‌‮​​‬‮‍‮,
Auto_ThanLong_obfusca.exe,171,TypeSpec,,Insert,
Auto_ThanLong_obfusca.exe,172,TypeSpec,,⁫‍⁫‪⁮⁯‏‭​​⁪‍‬⁫‎⁪‭‎‮‭‬‬‎‫‭‎‫‮‌‮⁭⁫‍⁬‍‫⁯‫‪‎‮,
Auto_ThanLong_obfusca.exe,173,TypeSpec,,get_HasCursorLeftDragThreshold,
Auto_ThanLong_obfusca.exe,174,TypeSpec,,set_IsDragInProgress,
Auto_ThanLong_obfusca.exe,175,TypeSpec,,‪⁬‭⁯​⁬⁪‍‍‬‬⁯⁫‍​⁫‎‬​‍‬‏‬‫⁮⁫‏⁮‫‬‫‮⁯‫‎‮⁪‏​‌‮,
Auto_ThanLong_obfusca.exe,176,TypeSpec,,⁭⁭⁬‫⁪‪‏⁯‬‪‎‌⁪⁪‭‎​⁫‌‭‬‍⁬⁭‮‌⁭​‎‍‫⁮‌‌⁬‮‍‫‌‬‮,
Auto_ThanLong_obfusca.exe,177,TypeSpec,,⁪‮‍⁬‪⁫‬‭‪‮‫⁪⁯⁫‭⁫‌‫‭‌⁮​⁬⁬⁭‎⁭⁪⁫‫‎‬⁫‎‍‫⁫‭‌⁭‮,
Auto_ThanLong_obfusca.exe,178,TypeSpec,,‮‭‎‭‍‬‫‭⁪‎‮‬‮⁬⁬⁭‌​‌⁭⁮‍‭⁮‎‬⁫⁪‫‏⁫‬‏‮⁭‏⁯​‭‮,
Auto_ThanLong_obfusca.exe,179,TypeSpec,,‮‪‏⁭‫‫⁭⁯‌‎⁭⁪⁬⁪‫‪‏⁫⁬‭‭‍‏‮⁫‬⁬‍‍⁭‮‎⁯⁮‍‮‬⁪⁮⁮‮,
Auto_ThanLong_obfusca.exe,180,TypeRef,System.Windows.Size,get_Width,
Auto_ThanLong_obfusca.exe,181,TypeRef,System.Windows.Size,get_Height,
Auto_ThanLong_obfusca.exe,182,TypeRef,System.Windows.Rect,Offset,
Auto_ThanLong_obfusca.exe,183,TypeSpec,,⁬‬‌⁯‮‬⁭⁪‏‭‬⁪‎‮‪⁪⁯‏‬‫⁪​‎‌‮⁯​‌‮⁫⁭‫​‮⁪⁬‬⁪‪‌‮,
Auto_ThanLong_obfusca.exe,184,TypeSpec,,‬‌⁮⁬‏‫‬⁭‏‏‫‎⁬⁪‌⁭⁪⁯⁫⁪​‍⁭‪‭‏⁬⁫‬‫‪‬‬⁯‏‏‏⁫‎‌‮,
Auto_ThanLong_obfusca.exe,185,TypeRef,System.Windows.Rect,.ctor,
Auto_ThanLong_obfusca.exe,186,TypeSpec,,‮⁯‮‍‪⁬⁭⁬⁬‪⁭⁬‌⁬‎​‌‏⁮‭‌⁬⁪‪‬‪‬‭⁭⁮‪⁫⁮⁫⁯⁪⁭‫⁮⁬‮,
Auto_ThanLong_obfusca.exe,187,TypeRef,System.Windows.Size,.ctor,
Auto_ThanLong_obfusca.exe,188,TypeRef,System.Windows.Rect,Contains,
Auto_ThanLong_obfusca.exe,189,TypeSpec,,‎‌⁭‬⁫‍‪​‎​‬‍‮⁪⁫‪‏⁯‬‬‮‮‌⁪‫‍​⁬‫‪‪‏⁫​​⁫‎‌‮‎‮,
Auto_ThanLong_obfusca.exe,190,TypeSpec,,‫⁯⁬⁮⁮‪‫⁭⁯‮⁭‭⁪⁫‫‬‏‮⁭⁭‍⁭⁭‪⁬‎⁯‍‍⁫⁬‭‭‪‮⁪⁬‏‬⁫‮,
Auto_ThanLong_obfusca.exe,191,TypeRef,System.Windows.Point,get_Y,
Auto_ThanLong_obfusca.exe,192,TypeSpec,,‏‫⁪⁭⁯‍⁯‏⁬‬​‮⁫⁬‌‎‮⁪‬⁪‏‏‪‬⁮⁬⁮‪⁮⁬‍⁫‌‭⁪‏⁯⁭‫‭‮,
Auto_ThanLong_obfusca.exe,193,TypeRef,System.Windows.Rect,get_Height,
Auto_ThanLong_obfusca.exe,194,TypeSpec,,‎‪​‪⁪‭‎⁪⁬‫⁯⁭‏⁭‫⁪​‬‫‬⁬‪‬‭⁪‬‭⁫⁯⁮‫‫‍⁪‌‌⁯⁪⁬‭‮,
Auto_ThanLong_obfusca.exe,195,TypeSpec,,‮‪‫⁪⁯⁮‎‭⁫‏⁬⁬⁬⁮⁪⁯⁮⁮​​‭‮⁪⁫‏⁫‮⁬⁬⁫​‪‎‍‭‮⁬‏⁬‮,
Auto_ThanLong_obfusca.exe,196,TypeSpec,,⁭‭​‮‍‍‬‏‍‍⁪‭‎​⁯‭​‮‫‭‮⁯⁯‍⁭⁫⁭‌⁭‭‪⁪‫‏‮⁮⁬⁯⁫⁯‮,
Auto_ThanLong_obfusca.exe,197,TypeSpec,,get_DragAdornerOpacity,
Auto_ThanLong_obfusca.exe,198,TypeSpec,,‬​⁭‎​‫‭‮‮⁬‫‬⁯‌‪⁭⁮​⁫‏⁪⁪‏‌⁮⁪⁮⁯⁫⁭‏⁯‬‍⁭⁬‏⁪‬‮‮,
Auto_ThanLong_obfusca.exe,199,TypeSpec,,⁭‬‌⁫‪‬​‌⁬⁬​‌‫‬‪‏‬‫⁬‬‎⁯‏‬‮‪‍⁫‏⁯​‪‎‬‬⁬⁯‌‮‌‮,
Auto_ThanLong_obfusca.exe,200,TypeSpec,,⁮⁮⁭⁪‌⁯​⁬⁪⁮⁯⁯‍⁬‪‪⁮‫‌‪‎⁬​‏‬​‫‪‏‪‎‍‌‌‌‬‭‎⁪‏‮,
Auto_ThanLong_obfusca.exe,201,TypeSpec,,‫⁬‪‭⁯​⁯​⁪‏‫⁯‏‪⁫‮⁯‭‮⁫‫⁬⁯‪‏⁯⁭​​‭⁬‎​‪‪⁭⁪‮​⁫‮,
Auto_ThanLong_obfusca.exe,202,TypeSpec,,‍​‪⁯⁬‮‫⁬⁮‪‭⁭⁬‪‫‭‭⁯‌‎⁮⁮⁫⁮⁫​‫‭⁬‭⁫‪⁪‭‫⁯‌​⁮‮,
Auto_ThanLong_obfusca.exe,203,TypeSpec,,‍‮⁭‏⁮‌‎⁪⁭​⁫​‬⁬‎‫‌‏​⁫⁪​⁬​‏‌‭⁭⁪‭​⁫‍⁫⁮‎‍‮‬‬‮,
Auto_ThanLong_obfusca.exe,204,TypeSpec,,⁮⁪‮⁭‫‌​‌‪‬‬‍‫⁯​‬⁬⁫‬‬⁭‌⁫⁮‪‎‫‍‮⁭⁮⁯⁫‍‏⁫‬⁬‍‭‮,
Auto_ThanLong_obfusca.exe,205,TypeSpec,,itemUnderDragCursor,
Auto_ThanLong_obfusca.exe,206,TypeSpec,,GetListViewItem,
Auto_ThanLong_obfusca.exe,207,TypeSpec,,‌‏‍⁯‬‮⁯‌⁬‮‭‌‫‍‫‎‫‌‌‍‭‌⁮​‌‌‫⁪⁭‍‬⁯⁫⁬‪‭‬‭⁭‎‮,
Auto_ThanLong_obfusca.exe,208,TypeSpec,,⁫⁫‪⁮‭‌‬‫⁮‪⁮‫‍‍​‮​‬⁪⁬⁭‫⁪‭‪⁭‍⁪⁪‏‬⁭‪⁮‬‌⁪⁫⁫‫‮,
Auto_ThanLong_obfusca.exe,209,TypeSpec,,get_ShowDragAdorner,
Auto_ThanLong_obfusca.exe,210,TypeRef,System.Windows.Point,get_X,
