assembly,declaring_type,property,getter_rid,getter_rva,setter_rid,setter_rva,feature_tags
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,slgiaicaptcha,522,0x25B9CC,523,0x25B9E4,captcha
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,giaicaptcha,524,0x25BA0C,525,0x25BA54,captcha
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,x2,526,0x25BA7C,527,0x25BAD8,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,loctrangbi,528,0x25BB3C,529,0x25BB98,inventory_sell
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,autodungmau,530,0x25BBFC,531,0x25BC58,heal_buff
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,phantramHP,532,0x25BC80,533,0x25BCDC,heal_buff
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,macdolv1,534,0x25BD30,535,0x25BD78,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,cleartrangbi,536,0x25BDD4,537,0x25BE1C,inventory_sell
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,banitem,538,0x25BE94,539,0x25BEAC,inventory_sell
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,chayTBD,540,0x25BED4,541,0x25BEEC,activity_tbd
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,CONNECT,542,0x25BF14,543,0x25BF70,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,konhatnguyenlieu,544,0x25BFCC,545,0x25C014,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,TEST,546,0x25C078,547,0x25C0D4,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,locthucuoi,548,0x25C138,549,0x25C180,pet_mount
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,HDACTAC,550,0x25C1E4,551,0x25C1FC,activity_actac
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,LV10,552,0x25C250,553,0x25C2AC,quest_level
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,MAPACTAC,554,0x25C300,555,0x25C35C,activity_actac
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,vitrigiaodich,556,0x25C3B0,557,0x25C40C,trade_transfer
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,trangthaigd,558,0x25C484,559,0x25C4E0,trade_transfer
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,chuyenitem,560,0x25C558,561,0x25C5B4,trade_transfer
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,chuyenitemvang,562,0x25C618,563,0x25C674,trade_transfer
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,thuylao,564,0x25C6C8,565,0x25C6E0,activity_thuylao
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,chuyen,566,0x25C734,567,0x25C77C,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,locPT,568,0x25C7F4,569,0x25C850,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,vutalltrangbi,570,0x25C8B4,571,0x25C910,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,sukien,572,0x25C988,573,0x25C9E4,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,TRAINLV,574,0x25CA38,575,0x25CA80,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,autoPT,576,0x25CAF8,577,0x25CB54,party_follow
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,AUTOLOGIN,578,0x25CBCC,579,0x25CBE4,account_login
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,getTK,580,0x25CC38,581,0x25CC80,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,BAITRAIN_ALL,582,0x25CCF8,583,0x25CD54,train_combat
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,BaiTrainSelected,584,0x25CDCC,585,0x25CDE4,train_combat
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,BaiTrainAll,586,0x25CE48,587,0x25CEA4,train_combat
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,sellItem,588,0x25CECC,589,0x25CF28,inventory_sell
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,setupauto,590,0x25CF84,591,0x25CFCC,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,dungitemphu,592,0x25CFF4,593,0x25D050,
