feature,assembly,declaring_type,method,rid,rva,body_status
consumable_shop,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_soluongdochoi,508,0x25B518,protected_or_nonstandard
consumable_shop,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_soluongdochoi,509,0x25B560,valid_il_header
consumable_shop,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_soluongthucan,512,0x25B684,protected_or_nonstandard
pet_mount,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_soluongthucan,512,0x25B684,protected_or_nonstandard
consumable_shop,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_soluongthucan,513,0x25B6E0,protected_or_nonstandard
pet_mount,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_soluongthucan,513,0x25B6E0,protected_or_nonstandard
consumable_shop,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_soluongmau,514,0x25B73C,protected_or_nonstandard
consumable_shop,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_soluongmau,515,0x25B754,protected_or_nonstandard
consumable_shop,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_soluongmana,516,0x25B7B8,protected_or_nonstandard
consumable_shop,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_soluongmana,517,0x25B814,protected_or_nonstandard
quest_level,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_chinhtuyen5x,518,0x25B870,protected_or_nonstandard
quest_level,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_chinhtuyen5x,519,0x25B8B8,protected_or_nonstandard
consumable_shop,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_muaitem,520,0x25B91C,valid_il_header
consumable_shop,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_muaitem,521,0x25B978,protected_or_nonstandard
captcha,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_slgiaicaptcha,522,0x25B9CC,protected_or_nonstandard
captcha,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_slgiaicaptcha,523,0x25B9E4,protected_or_nonstandard
captcha,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_giaicaptcha,524,0x25BA0C,protected_or_nonstandard
captcha,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_giaicaptcha,525,0x25BA54,protected_or_nonstandard
inventory_sell,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_loctrangbi,528,0x25BB3C,protected_or_nonstandard
inventory_sell,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_loctrangbi,529,0x25BB98,protected_or_nonstandard
heal_buff,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_autodungmau,530,0x25BBFC,valid_il_header
heal_buff,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_autodungmau,531,0x25BC58,protected_or_nonstandard
heal_buff,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_phantramHP,532,0x25BC80,protected_or_nonstandard
heal_buff,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_phantramHP,533,0x25BCDC,protected_or_nonstandard
inventory_sell,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_cleartrangbi,536,0x25BDD4,protected_or_nonstandard
inventory_sell,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_cleartrangbi,537,0x25BE1C,protected_or_nonstandard
inventory_sell,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_banitem,538,0x25BE94,protected_or_nonstandard
inventory_sell,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_banitem,539,0x25BEAC,valid_il_header
activity_tbd,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_chayTBD,540,0x25BED4,protected_or_nonstandard
activity_tbd,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_chayTBD,541,0x25BEEC,protected_or_nonstandard
pet_mount,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_locthucuoi,548,0x25C138,protected_or_nonstandard
pet_mount,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_locthucuoi,549,0x25C180,protected_or_nonstandard
activity_actac,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_HDACTAC,550,0x25C1E4,protected_or_nonstandard
activity_actac,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_HDACTAC,551,0x25C1FC,protected_or_nonstandard
quest_level,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_LV10,552,0x25C250,protected_or_nonstandard
quest_level,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_LV10,553,0x25C2AC,protected_or_nonstandard
activity_actac,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_MAPACTAC,554,0x25C300,protected_or_nonstandard
activity_actac,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_MAPACTAC,555,0x25C35C,protected_or_nonstandard
trade_transfer,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_vitrigiaodich,556,0x25C3B0,valid_il_header
trade_transfer,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_vitrigiaodich,557,0x25C40C,protected_or_nonstandard
trade_transfer,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,get_trangthaigd,558,0x25C484,protected_or_nonstandard
trade_transfer,Auto_ThanLong_obfusca.exe,KhungCode_Auto.MainWindow,set_trangthaigd,559,0x25C4E0,protected_or_nonstandard
